No.,チャンネル名,所属,登録者数,最終投稿日,ゲーム動画率,日本語率,主なジャンル,自動判定,あなたの判定,チャンネルURL,直近タイトル例
731,Tさとる,,96900,2026-08-28,0.89,1.0,,残す,,https://www.youtube.com/channel/UCo4pd-GsErqpdZ8f8bC8H-g,最強ペルソナ『伊邪那岐大神』を召喚して幾万の真言で超高火力を出したい【スマブラSP】
732,レトロゲームTV【ゆっくり実況】,,96500,2026-08-23,0.25,1.0,RPG,残す,,https://www.youtube.com/channel/UCrhHdxT-kPVVbVnH7W3daRg,【ゆっくり実況】ドラゴンスレイヤー英雄伝説をクリア【レトロゲーム】
733,GAMEアダチ,,96500,2026-09-06,1.0,1.0,RPG,残す,,https://www.youtube.com/channel/UCPIvPzsAmkhTRHJGvQRC-_g,"完全初見ですが""鬼武者""を簡単にクリアできます【鬼武者 Way of the Sword】"
734,咲乃もこ【SakinoMoco】,,95100,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCwXfrtn26oj7JW9fwB_z1bw,【#魂天リーグ】決勝行けるかが決まる予選最終節！チームポラリス応援楽屋配信！VS魂天プロ
735,光葉エニ,Neo-Porte,94800,2026-08-24,0.45,1.0,シューター,残す,,https://www.youtube.com/channel/UCdVYY2166hyjUAMHwp2almg,【 Escape from Tarkov 】ガチで目指せ20代！【ネオポルテ / 光葉エニ】
736,えびンモTV,,94400,2026-08-29,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCqWIpAZsfdtfh6qNDs1XQNA,【ダリウス vs ジャックス】瞬足ビルドでファイトを荒らせ！ダリウスの欠点を補う最新ビルドでレベル1からドミネートするえ
737,不知火葵 ゲーム実況チャンネル,,94000,2026-08-29,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UChRMiBqjKxq7QPtYbXjMzFA,
738,Diamond【マイクラ】,,92700,2026-08-18,0.5,1.0,,残す,,https://www.youtube.com/channel/UC45awQ1U5fvdqItpgo4fzrg,全人類がマイクラに転生した結果
739,RaeedXA Gaming,,92700,2026-08-14,0.75,0.0,アドベンチャー,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCJyZf47MezbvULwA-4ITPeg,اشياء ما تعرفها عن ريزدنت ايفل - Resident Evil 4
740,ましゃかりさん,,92700,2026-08-30,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCEOWxJCx_wPq-LsJB_QXL9A,【#ストグラ Season2】壊れていく警察【赤ちゃんキャップ】
741,しんたろー,高田村,92400,2026-08-19,0.2,1.0,パズル,残す,,https://www.youtube.com/channel/UCIWJ_FaWuSc3HhWSSrCgTMg,【しんたろー視点】タケルさん主催zoom人狼 8/19
742,はる～～ん,,92100,2026-08-28,0.11,1.0,,残す,,https://www.youtube.com/channel/UCEbfFfOHYWgjpypO5skW6aw,タタコンで第六全良できんじゃね！？【太鼓の達人 ドンだフルフェスティバル】
743,かしあ,,91700,2026-08-30,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCRgev-FkPpAi4P0WrWI5irg,チートで最強精霊を呼び出して新シーズンでビクロイしてみた！【フォートナイト】【ゆっくり実況】
744,アイウエオ,,91500,2026-08-29,0.84,1.0,,残す,,https://www.youtube.com/channel/UCiC6jXFV2uHuP6rRhet6l_w,【超究極　糸師凛】反属性完全無課金（糸師冴艦隊）で挑む！【ゆっくり実況】モンストやりこみ解説#188
745,蛇宵ティア / Tier Channel【ななしいんく】,ななしいんく,91400,2026-08-28,0.55,1.0,RPG,残す,,https://www.youtube.com/channel/UCrt4cTM_sWH0iySLMkwwYLQ,【 JSP3 】あの、ここ行ったとこあります…【 蛇宵ティア / ななしいんく 】
746,久我レオ / Kuga Leo,Neo-Porte,91200,2026-08-28,0.8,1.0,,残す,,https://www.youtube.com/channel/UCmpEFsiD67ZOjn2CCJoo1mw,【歌枠】おはよう☀️突発の朝歌枠！誕生日に向けて練習するよん～  【久我レオ / ネオポルテ】
747,【公式】デジモンカードゲーム チャンネル,,90900,2026-08-27,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCatja8aFvLzB5efQjBN0LuQ,【木曜21時】デジモンカードバトル #279  #TIMELESSBONDS クライマックスバトル！
748,teamPGX,,90500,2026-08-25,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCEHYJuAhZA3krpO9o1eiHtw,【太鼓の達人 ニジイロver.】HYPERNOVA 全良
749,ギヤウキ,,90200,2026-08-21,0.9,1.0,ポイントクリック,残す,,https://www.youtube.com/channel/UCC4bvNCjqB6OD3ovoXixOvQ,とにかく40時間ひたすら洗濯して最強の『ランドリーストア』を経営しよう！
750,としょ子 ストーリー実況と検証バグ,,90000,2026-08-27,0.3,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UC9gHycsJRqL2hOAsqnWnd9w,馬に乗って竜に乗って馬が吹っ飛ぶ～検証バグ集～【スカイリム】【バイオハザードオペレーションラクーンシティ】
751,めーや,高田村,90000,2026-08-27,0.75,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCnxOr4j-qXPkC7oQXtM18kg,【Gamble With Your Friends】高田村メンバーでレッツギャンブル！！
752,とち丸ちゃん【毎日19時配信】,,89900,2026-08-27,0.56,1.0,シューター,残す,,https://www.youtube.com/channel/UCdlbniMFEw3Ci0AtOyNnu4g,『Fortnite』超初心者は何日でアンリアル行ける？
753,白銀のハト,,89800,2026-08-30,1.0,1.0,RPG,残す,,https://www.youtube.com/channel/UC5fmyPdfcC56olPQyfXTSjA,【#fgo 】各食材18万 どこまで稼げる？【カルデア南海大決戦！】【質問あればご自由に】
754,ぽこに / Poconi,,89500,2026-08-27,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UC4QbTGVe7Jljprrh3EhQqwA,
755,しゅーとチャンネル / Shuto,,89500,2026-08-26,0.94,1.0,,残す,,https://www.youtube.com/channel/UCVpiMbxV0dfkINwtUlqU1bg,【スト6】釈迦さんにマリーザコーチング
756,Captain Tsubasa : Dream Team /キャプテン翼 たたかえドリームチーム（キャプテン翼 たたかえドリームチーム公式チャンネル）,,89400,2026-08-28,1.0,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCTgOPO7kIQ35YzB7SBIQoWQ,【New Regular Livestream】Captain Tsubasa: Dream Team／キャプテン翼〜た
757,ミラ,,89100,2026-08-27,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCM1XeucEZHYmxCXlYNTELoQ,くるくる～
758,Sci-Fi City,,89000,2026-08-27,0.7,0.0,アドベンチャー,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCR29-cqWs0T_J265ZxUym_Q,Ultimate 70s Sci-Fi Comet Disaster Movie | A Fire in the Sky
759,トマトちゃん / ゲーム総合,,88700,2026-08-30,1.0,1.0,,残す,,https://www.youtube.com/channel/UCwhoGYcjo1hOH7xt7qwt3BQ,【エルデンリング 新DLC 考察】完全版！！破砕仮面卿の正体は、やはり「あの人」でした！！【考察】
760,DOLCE. / dolce_iwate Channel,,88500,2026-08-28,0.45,0.95,音ゲー,残す,,https://www.youtube.com/channel/UCVbTqPzmorYfPotO6IMelkA,【超縛りARENA】ルーレットで決まった様々な縛りオプション(S-RAN・EXHやフォルダ指定など)を付けながらアリーナ
761,うめたん,,88200,2026-09-08,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCPCOVm2M617IgO7v3jZ4iLw,
762,KOHALON,,88000,2026-09-03,1.0,1.0,格闘,残す,,https://www.youtube.com/channel/UC5d4C9zl9iayAex3X39PhIg,【新ルール追加】目的と手段を履き違えた男が列車に突撃してしまいました【マリオカート8DX ゴミ捨て#230】
763,影。/かげまる,,87800,2026-08-30,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCbJ9dl-7OBsL58Z_Gmp6ANw,【#ストグラSeason2】Day.73 深夜にチルっと起きてみたり【橘かげまる #ストグラ救急隊】2026/8/30
764,ぷにたか,,87100,2026-08-30,0.43,1.0,シューター,残す,,https://www.youtube.com/channel/UCHNzl4BpHSRBdufFPqNPyOQ,【ゆっくり実況】新作東方ヴァンサバで被弾しまくり(泣)初期武器を自撮り棒から変えてみたステージ４の結果【天才チルノの珍イ
765,鬼ヶ谷 テン / Onigaya Ten,Neo-Porte,86500,2026-08-26,0.25,1.0,シューター,残す,,https://www.youtube.com/channel/UCv3EicDtxObcZZmnFcHvNnw,【雑談】 小休憩前の雑談～【鬼ヶ谷テン/ネオポルテ】
766,tekkenchannel,,86100,2026-08-28,1.0,0.88,,残す,,https://www.youtube.com/channel/UC6y98o30kK3yaVwTF-CmH7g,TEKKEN 8 - 「ボブ」 スターターガイド
767,ほたっぺ,,84300,2026-09-08,0.35,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UC9Cvblf51Ji0BZorqLy7HjQ,【メトロイド ゼロミッション】完全初見！人生初のメトロイドに挑戦！｜未知の惑星を大探索！【ほたっぺ/VTuber】
768,小々波いるか / Kokonami Iruka【にじさんじ】,,84000,2026-09-08,0.73,1.0,RPG,残す,,https://www.youtube.com/channel/UCGGIGlgxXoVu1ZzbQ2XBxqQ,【 ゼルダの伝説 時のオカリナ 】#8 完全初見！ゾーラの里行くゾラ！【 にじさんじ  / 小々波いるか 】
769,のかすのFPSゲーム実況部屋,,83900,2026-08-26,0.95,1.0,シューター,残す,,https://www.youtube.com/channel/UCkYy31GUikC4wtCOuvR32QQ,【EFT kord breach編】 所属不明の部隊 ブラックディビジョンを追え＃3【ゆっくり実況】
770,Cassian Floros【FIRST STAGE PRODUCTION EN】,,83900,2026-08-27,0.8,0.0,アドベンチャー,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UC9mydBOLdL6-Fp61paK68Tw,My Oshi is texting with me?!【lovebyte.exe】
771,れんぴき,,83700,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCck2cTlrqvieSSBKzmyWGuA,【荒野行動】Re:ゼロから始める荒野生活！。#通常無双配信 #伝説の軍人 #公認実況者 #荒野行動 #荒野鬼滅の刃コラボ
772,猫咲あんじ Nekosaki anji,,83600,2026-08-27,0.62,1.0,RPG,残す,,https://www.youtube.com/channel/UCBHlcxEjbYXPhShy40KBkdA,激よわ実力ブロンズの猫がダイヤ帯チャレンジ！ミラージュ初心者【 #初見さん歓迎 #APEX #apexlegend #猫
773,さぶ郎。,,83600,2026-08-28,0.5,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCKR_dxrRj5tmyzEPUieFVfA,【DON'T SCREAM TOGETHER 】ホラゲよりも怖がられるさぶ郎。【稲荷いろは/ぺいんと/アマル】
774,Lスターしゅんしゅん,,83500,2026-09-07,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UC8x1Wav9AO4QqRHy6UiRoVw,『ネメシス』の撃ち方わかってくると、火力が別武器レベルになる【Apex Legends/PC版ソロプレデター】ヒューズ 
775,ひろと,,83100,2026-08-29,0.13,1.0,シューター,残す,,https://www.youtube.com/channel/UC3iI4AriSEyFPFcGJAZd7ew,【太鼓の達人 ニジイロVer.】Vrykolakas 全良
776,やふへゐ先生,,82600,2026-08-20,0.16,1.0,,残す,,https://www.youtube.com/channel/UClX86CrkVO8RnqwsrXFYGdg,夏なので青鬼の新作をしましょう
777,くにくんOfficial,,82000,2026-08-24,0.39,1.0,シューター,残す,,https://www.youtube.com/channel/UCNTf7ZKptL1prA2AfUMuFIw,【 歌枠 】夏曲縛り歌枠開催🎤🎆夏だ！海だ！歌枠だ！！！【すたぽら/くに】
778,よんえる,,81600,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCdfIxZMfAQBb1YSiVYdlg7w,縦横同時配信　スマブラ　シャゲミ撮影
779,レトロジ【サメのレトロノスタルジー】,,81600,2026-08-28,0.14,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UCrkLP1bgDlaTXCObdn3uM_g,超高級8BitDo Ultimate 3E コントローラーに2万6000円の価値はある？
780,まつげさん(生声),,81500,2026-08-27,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCuwRqVzbFsjDIk907HYRmZQ,
781,兎桃みみこ /Mimiko Tomomo,,81500,2026-09-01,0.65,1.0,RPG,残す,,https://www.youtube.com/channel/UCuORn0gpP7nIM0M-H5oN7uw,#1【真・女神転生】※閲覧注意  開幕原因不明のホラー音声バグ！！はじめてのメガテンを完全初見で楽しむぞ！！【 Shin
782,ぬるぬる,,81400,2026-08-27,0.79,1.0,シューター,残す,,https://www.youtube.com/channel/UCM8iKypZ7GbAi609fK6fq8A,【APEX】ブラハがリワークから更に強化されて最強すぎるやつ【ゆっくり実況】#apex
783,旅野そら,,80900,2026-08-29,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC_aqfJwiavLQNMjURn-8mDg,【緊急】今後の活動についての大切なお知らせ
784,甘音あむ / Amane Amu,Neo-Porte,80700,2026-08-28,0.32,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UC6FprWVXuULaY9mZOcqTe4A,【朝枠】おあよ？【甘音あむ / ネオポルテ】
785,しまねげーむず / ホラーゲーム実況ch,,80300,2026-08-27,0.45,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCIr_W70tfZB8_Qca6F-gVSQ,ネット上の集団心理に『家族が壊されていく』ホラーゲーム【 つぐのひ -天招ねく救いの糸- 】『VOICEROID実況/重
786,小鈴りあん / Lian Channel【ミクスト】,,80100,2026-08-28,0.58,1.0,RPG,残す,,https://www.youtube.com/channel/UCVAyRbZsu5lrv2_xvgliB2Q,【ごはん会】８月最後！！！家庭菜園19日目の夜【#小鈴りあん / #ミクスト】
787,ザルワーク,,79800,2026-08-28,0.95,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCeWn2Gp8RNWJ4rAMCDeV22g,【Corsair Cove】 火薬づくりと新天地の発見 #3【ゆっくり実況】
788,しょぼすけ / ShoboSuke Channel,,79500,2026-08-29,0.25,1.0,シューター,残す,,https://www.youtube.com/channel/UCezlPKRcEjtZhg0-m7MWFKA,【ストグラ】警察会議でS1やらかしまくった警官が光り輝き驚く市長【神視点観測/山下ひろし/しょぼすけ】
789,犬うさぎ,,79400,2026-09-02,0.84,1.0,RPG,残す,,https://www.youtube.com/channel/UCtfu60_wmQNnLTtRpKPBchA,【一気見】ゾーイちゃんと行くほぼ初見のパルワールド最強への道【パルワールド/Palworld】
790,ぽみそしる,,79300,2026-08-26,0.54,0.92,アドベンチャー,残す,,https://www.youtube.com/channel/UCrIHnAUwLYPrdWH-kZcdbTQ,2日で100万本売れた「釣った魚を銃で撃つゲーム」が異常すぎる【How to Fish】
791,ビット -BitChannel-,,79000,2026-08-28,0.36,1.0,シューター,残す,,https://www.youtube.com/channel/UCOzCiNBUrm367t5avnyBi4g,【とよとろカスタム】キャリーされて賞品で牛タンを手に入れる配信【w/ねむ3、りとるん3】
792,むじなch / あおぎり高校,あおぎり高校,78900,2026-08-26,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCXXlhNCp1EPbDQ2pzmmy9aw,【実写】太ももと話す飲み雑談！【#あおぎり高校 ／#八十科むじな】
793,サンキュームービー,,78000,2026-08-28,0.8,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCEjw0_k4diMpne2GRHVDTLw,【ホラー】『再生してはいけない動画』を再生したインフルエンサーが失踪した事件 生配信【たろうくんはいってきました】
794,将棋実況 そら,,77400,2026-09-06,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCIG5T4b6sTSuc5u6YWfTa_w,【配信者大会】「将棋ウォーズ 新星戦」【有段者DAY＆決勝】
795,あふろのフォートナイト大学 / AFRO's FORTNITE UNIVERSITY,,77300,2026-08-30,0.29,1.0,シューター,残す,,https://www.youtube.com/channel/UCQwY7bupH7yShTIWlDCERbg,【完全クリア】フォートナイトに存在する精霊を『全種類』集めてみた
796,shu3 no desk,たろちん指定,77300,2026-08-22,0.25,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCU_Lc93btU0NywQBaWSs_uQ,お盆なので『ぼくのなつやすみ』やらせてください⑦
797,麻倉シノ,Neo-Porte,76900,2026-08-28,0.9,1.0,シューター,残す,,https://www.youtube.com/channel/UCTxoJgb4DzMd7tiM8cvf4PA,【APEX LEGENDS】ソロペックスレジェンズ【麻倉シノ / ネオポルテ】
798,RTV,,76800,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCk13mE7-HnizCxK2C-4XAqw,
799,一ノ瀬とおる,,76600,2026-08-27,0.3,1.0,,残す,,https://www.youtube.com/channel/UCUyzkoU2IzFo7OG39FH8jSQ,【神シリーズ】全人類見るべき最高レベルの神試合！マクロ良し、連携良し、フィジカル良しの誰が見ても満足度★5のGen.G 
800,シバシマツナリ,,76500,2026-08-28,0.2,1.0,RPG,残す,,https://www.youtube.com/channel/UCzvPl7eoxA01Omqrd_TSFKw,【ゆっくり実況】新機関獣をゴリ押し？！大型アップデート「不見山」第二章を体験！【風燕伝：Where Winds Meet
801,あっさりしょこ切り抜き【公認】,,76100,2026-09-04,1.0,1.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCqs5Sl2-qmnwf3i6ODLvQ1w,老人会メンバーマイクラ解散後の雑談シーンまとめ「マイクラハードコアみんなでクリアリベンジ」【2026/08/27】【雑談
802,海月シェル Shell Ch.,,75900,2026-08-27,0.12,1.0,,残す,,https://www.youtube.com/channel/UCz1RAeb7dVaUcd-4rEgyxPw,#2【ドラゴンクエストVII Reimagined】ドラクエ大好き人魚がくじけぬ心で挑む！ドラクエ7リメイクリイマジンド
803,比宮じょーず,,75900,2026-08-29,0.95,1.0,,残す,,https://www.youtube.com/channel/UCITobU2FXPIWHGiPohtjclw,【飲酒LIVE🔴】初代マリオ全クリしたことないので、全クリするまで寝ない。
804,crowfps,,75800,2026-08-28,0.5,0.95,,残す,,https://www.youtube.com/channel/UCdpwgXpC6jXAnj_dJryvFMg,【ダブルコーチング】想像力が欠如している患者にウルト発動するJUNiORと笑顔なcrow【VALORANT】
805,しめじ,,75600,2026-08-30,1.0,1.0,,残す,,https://www.youtube.com/channel/UCzwlLtuT4_qTRgvOvMdyycw,モンスト歴１週間の初心者と星墓制覇する
806,らてあーと,,75400,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UC2ZL3X4U66m3e69qAnTHCyg,
807,えるとねGame,,74900,2026-08-25,0.85,1.0,シューター,残す,,https://www.youtube.com/channel/UCrv9jP1qDRpXMBxkGheoPvA,【EFT】#267 新武器QBZ-191！中国製アサルトライフルがなぜタルコフ市へ？【タルコフゆっくり実況】
808,papikoタウン,,74800,2026-08-22,1.0,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCJC6M_m1ud6f-Mcn5BA0WvQ,築いた城で敵を迎え撃とうとした話 【Farthest Frontier】#7
809,花奏 かのん / Kanade Kanon ch【ななしいんく】,ななしいんく,74600,2026-08-08,0.1,1.0,レース,残す,,https://www.youtube.com/channel/UCmqrvfLMws-GLGHQcB5dasg,【#777TOWNꓸnet】スマスロ 化物語をプレイ！視聴者も応援バトルに参加できる企画！初心者大歓迎だよみんなで打とう
810,かざま隊 切り抜き侍 / ゆずみかん【ホロライブ切り抜き】,,74600,2026-08-27,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UC_9y1Xz0igNs3dZeDJWLOyw,
811,TAKERA CHANNEL,,74400,2026-08-28,1.0,1.0,格闘,残す,,https://www.youtube.com/channel/UCe5I0Auhdpyio11x03RZj6w,MARVEL闘魂day19-2 技とアシを振り回せ
812,Grim Shorts,,74300,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCN8rwBmDq_v7BrTyE2sHFZg,
813,鉄塔,実況グループ,73800,2026-08-27,0.55,0.95,シューター,残す,,https://www.youtube.com/channel/UCN0za1OXDXK1_2Xa5i911pQ,2019年のゲーム『Apex Legends』
814,ちくのぼチャレンジ,,73600,2026-09-04,0.75,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCtf05oKymfhLyWV8m8cPdXQ,【PUBG】前半ソロ、23時からmisacoさんと練習するぞ！
815,Adamer And Kael,,73200,2026-08-27,1.0,0.0,シューター,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCIhQQMaF7XRUaRoA_m9TBag,Interesting Metal Gear Solid 4 Facts
816,幽乃うつろ / Kasukano Utsuro,Neo-Porte,72700,2026-08-27,0.47,1.0,シューター,残す,,https://www.youtube.com/channel/UCEk1_ZVGRiVV-gxHT9wdNMg,【 OW 】深夜のこっそりおばうぉっちプラチナにいきたい編【 幽乃うつろ / ネオポルテ 】
817,こへー / 古兵,,72700,2026-09-03,1.0,1.0,,残す,,https://www.youtube.com/channel/UCs-L6Mv85AytGgaNmANTDuQ,【ゼンゼロ】ガチ初心者講座・ガチャ優先度・育成・ステータスなどお悩み相談まとめ解説【ゼンレスゾーンゼロ・攻略・考察・検証
818,ホロライブ切り抜き・憩いのひととき,,72500,2026-08-23,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCHU-PbGzuV4iVyhr0lYUuMQ,
819,羽渦ミウネル -Miuneru Haneuzu-,,72500,2026-09-08,0.83,1.0,パズル,残す,,https://www.youtube.com/channel/UCE5VgVGRPfNCjXPeTe1QJHA,【BOMBANANA!】白髪Vtuber3人による初めての協力コラボ！【羽渦ミウネル/獅ノ月ヨナ/羽瑠流ウル】
820,品川家の遊び場,,72300,2026-09-06,0.45,1.0,格闘,残す,,https://www.youtube.com/channel/UC5kX0Q716-pmfFIXxtM5nug,【品川ヒロシ】めっちゃカメレオン：べるくら、れぷちん、ゴー☆ジャス、みたでらちゃん。コラボ
821,ホロライブ切り抜き隊,,71800,2026-08-26,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCuDIDQjtZI-sDAMO0Vqe5VQ,
822,Dep,,71600,2026-08-19,0.87,0.93,,残す,,https://www.youtube.com/channel/UCu-PpmaPulFqKjZ9LJQh4Hg,【PR】夏だ！海だ！NTEでみんなでビーチバレーやってみた!!🏐🌺
823,るんば,,71200,2026-08-27,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCC7qoSvWxlP0Cy4ukDHBI2w,【食材たちとのわくわく生活】目指せ！三ツ星ミシュランド【トモダチコレクション わくわく生活】#33
824,九里詠太 / Kuri Eita【にじさんじ】,,71000,2026-08-28,0.08,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCzcuYIyP-1YcXC96t9J5yWQ,【#にじメンマイクラ】壊した自然を神の手で作り出す【九里詠太 / にじさんじ】
825,青木瑠璃子,,70800,2026-08-30,0.6,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCgYEnhQva1nK5NpU2r2inag,やられることは許されない【7 Days to Die】
826,ぽめとしたっぱ【おもしろゲームch】,,70600,2026-08-27,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCu_eg52Rapvvj_mgVHy2Y_w,
827,姉と下僕,,70600,2026-08-25,0.67,1.0,,残す,,https://www.youtube.com/channel/UCq-2J8VNtII1Bbw4klDinhQ,【6.5万人記念】今まで頂いたコメントに返信したり話したりする配信【睡眠・作業用bgm】
828,れとろげぇむゆっくり実況ch,,70100,2026-08-22,0.05,1.0,スポーツ,残す,,https://www.youtube.com/channel/UCxbrUNa-3kVTXF8YLApkPwg,【ゆっくり実況】バットマン：リターン・オブ・ザ・ジョーカー
829,momota,,70000,2026-08-21,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCdxypx-ep9_IlTIbueGXUJA,【ぽこポケ】お城リメイク！ポケモンが暮らせる宮殿作り🌷🐬｜pokopia｜ブクブクうみぞこの街
830,VTuver切り抜き隊,,69800,2026-08-28,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UC4E6OzPLcKbcCP1qRzGZlNg,
831,gogo midou,,69800,2026-08-21,0.05,1.0,格闘,残す,,https://www.youtube.com/channel/UC7B-K-KiiK5WCIW3UVj9tDQ,反則すぎ！？最新の格ゲーの裏ボスがヤバすぎる！（ゆっくり実況）マーベル闘魂　MARVEL Tōkon: Fighting
832,あっき〜,,69700,2026-09-05,1.0,1.0,,残す,,https://www.youtube.com/channel/UCG9yjKS4Rbsc7KWLE8Od43w,【魔法石ゲット】アシスト無しで余裕です！試練進化闇カーリーで9月のクエストEXを楽々攻略！【パズドラ】
833,エクセル【ゲーム解説 / 考察】,,69600,2026-08-27,0.08,1.0,,残す,,https://www.youtube.com/channel/UC6-XQmUhR5KBcyZ0U6pwmAA,【最新情報】ノーダスフォールはキャラガチャなしで覇権確定！試遊版の情報まとめ【Nodusfall】
834,ひまわり?ちゃん,,69300,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCIhl1a5ecROnug52dWCp9HA,【飲酒雑談】リスナーさんからいただいたお酒開封！
835,すずきくん,,69000,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UC1FuNADkOJ0vGvnUdKsPQow,
836,ゆっパチCH,,68700,2026-08-12,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC8SR4fvdh9huBil8DhEfjEg,【新台】スマスロストリートファイター6で連勝しまくった結果ｗｗｗ　ゆっパチ趣味打ち実践その218「ゆっくりずんだもん実況
837,やまにぃ,,68600,2026-09-02,1.0,1.0,,残す,,https://www.youtube.com/channel/UCw2-ggsnjCeo8c4wAkGuJAQ,【モンスト】破界の星墓向き！今回の呪術コラボで引いておいた方がいいキャラ
838,ハンク,,67700,2026-09-06,1.0,1.0,,残す,,https://www.youtube.com/channel/UCiPfW2XE3EzS9icx3FTX5kw,死にゲーやったことない奴が城の主にケンカを売る #3【 ELDEN RING】
839,Cjels818,,67400,2026-09-09,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCKH36Vpn_9YYI3F9bsNVKSA,
840,TakoBeL,,67400,2026-09-09,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCZ_8gK-8HZSI7CAHnfQB0yA,【参加型】ロードモバイルで皆で遊ぼう!!🐙
841,クラウン【探検家の記録】,,67300,2026-08-27,0.95,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UClUgwNGTerN-_WQmZBjaOVA,【#ストグラ】源始 仁 働く～漂流2日目～【源始仁/クラウン】#ストグラSeason2
842,jirai channel,,66900,2026-08-25,0.75,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCRbq5PfDY-bH4Ax3iBmAOqQ,【#マイクラなつにっき】3日目 相棒を探しに【Minecraft】
843,ヴァロラント学園りだら〜ず,,66900,2026-09-01,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC4CETk3YsI59p-nFL3dhTmw,【OTP】ガチソヴァオーディン子種
844,カイト,,66000,2026-09-08,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCLmQAcp8yIs-3MfZiICEpZQ,【妖怪ウォッチ1】じゃぱぱさんの妖怪ウォッチ実況   #1
845,HIKARU SHIDA @SHIDAtube,,65700,2026-09-08,0.91,0.82,RPG,残す,,https://www.youtube.com/channel/UCzuvPtwg5kin3AO1pGNf_5Q,Requests from 1st time viewers are welcom!/ 初見リクエスト大歓迎！【龍が如く
846,朝陽にいな / Nina Ch.,,65200,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC2JWNoJJ8MRZkgINm2IhH7Q,【玉の間段位戦】🀄️ラス回避をがんばります、にいなです【雀魂/麻雀】
