name	channel_id	affiliation
ドーラ	UC53UDnhAAYwvNO7j_2Ju1cQ	にじさんじ
魁星	UC8SJPcLpIM3x8RdBJFfiluw	にじさんじ
オリバー・エバンス	UCqjTqdVlvIipZXIKeCkHKUA	にじさんじ
珠乃井ナナ	UCkhViRjLUKgIcVpar9JiNrw	にじさんじ
五十嵐梨花	UCu-rV2gPtJ-CsGxe71z_BrQ	にじさんじ
赤城ウェン	UC1vawzfbCnRpHT9SJ5pHlHw	にじさんじ
榊ネス	UCyXBNgCulibV9pRm3ZKpmoQ	にじさんじ
獅子堂あかり	UCWRPqA0ehhWV4Hnp27PJCkQ	にじさんじ
夢月ロア	UCCVwhI5trmaSxfcze_Ovzfw	にじさんじ
森中花咲	UCtpB6Bvhs1Um93ziEDACQ8g	にじさんじ
ヤン・ナリ	UCCHH0nWYXFZmtDS_4tvMxHQ	にじさんじ
北小路ヒスイ	UCRqBKoKuX30ruKAq05pCeRQ	にじさんじ
鈴木勝	UCryOPk2GZ1meIDt53tL30Tw	にじさんじ
宝鐘マリン	UCCzUftO8KOVkV4wQG1vkUvg	ホロライブ
星街すいせい	UC5CwaMl1eIgY8h02uZw7u8A	ホロライブ
兎田ぺこら	UC1DCedRgGHBdm81E1llLhOQ	ホロライブ
白上フブキ	UCdn5BQ06XqgXoAxIhbqw5Rg	ホロライブ
さくらみこ	UC-hM6YJuNYVAmUWxeIr9FeA	ホロライブ
戌神ころね	UChAnqc_AY5_I3Px5dig3X1Q	ホロライブ
猫又おかゆ	UCvaTdHTWBGv3MKj3KVqJVCw	ホロライブ
白銀ノエル	UCdyqAaZDKHXg4Ahi7VENThQ	ホロライブ
大空スバル	UCvzGlP9oQwU--Y0r9id_jnA	ホロライブ
百鬼あやめ	UC7fk0CB07ly8oSl0aqKkqFg	ホロライブ
角巻わため	UCqm3BQLlJfvkTsX_hvm0UmA	ホロライブ
獅白ぼたん	UCUKD-uaobj9jiqB-VXt71mA	ホロライブ
夏色まつり	UCQ0UDLQCjY0rmuxCDE38FGg	ホロライブ
赤井はあと	UC1CfXB_kRs3C-zaeTG3oGyg	ホロライブ
ラプラス・ダークネス	UCENwRMx5Yh42zWpzURebzTw	ホロライブ
常闇トワ	UC1uv2Oq6kNxgATlCiez59hw	ホロライブ
博衣こより	UC6eWCld0KwmyHFbAqK3V-Rw	ホロライブ
尾丸ポルカ	UCK9V2B22uJYu3N7eR_BT9QA	ホロライブ
雪花ラミィ	UCFKOVgVbGmX65RxO3EtH3iw	ホロライブ
大神ミオ	UCp-5t9SrOQwXMU7iIjQfARg	ホロライブ
ときのそら	UCp6993wxpyDPHUpavwDFqgg	ホロライブ
AZKi	UC0TXe_LYZ4scaW2XMyi5_kw	ホロライブ
桃鈴ねね	UCAWSyEs_Io8MtpY3m-zqILA	ホロライブ
ロボ子さん	UCDqI2jOz0weumE8s7paEk6g	ホロライブ
不知火フレア	UCvInZx9h3jC2JzsIzoOebWg	ホロライブ
姫森ルーナ	UCa9Y57gfeY0Zro_noHRVrnw	ホロライブ
風真いろは	UC_vMYWcDjmfdpH6r4TTn1MQ	ホロライブ
癒月ちょこ	UC1suqwovbL1kzsoaZgFZLKg	ホロライブ
鷹嶺ルイ	UCs9_O1tRPMQTHQ-N_L6FU2g	ホロライブ
アキ・ローゼンタール	UCFTLzh12_nrtzqBPsTCqenA	ホロライブ
湊あくあ	UC1opHUrw8rvnsadT-iGp7Cg	ホロライブ
天音かなた	UCZlDXzGoo7d44bwdNObFacg	ホロライブ
沙花叉クロヱ	UCIBY1ollUsauvVi4hW4cumw	ホロライブ
紫咲シオン	UCXTpFs_3PqI41qX2d9tL2Rw	ホロライブ
夜空メル	UCD8HOxPs4Xvsm8H0ZxXGiBw	ホロライブ
儒烏風亭らでん	UCdXAk5MpyLD8594lm_OvtGQ	hololive DEV_IS
轟はじめ	UC1iA6_NT4mtAcIII6ygrvCw	hololive DEV_IS
音乃瀬奏	UCWQtYtq9EOB4-I5P-3fh8lA	hololive DEV_IS
一条莉々華	UCtyWhCj3AqKh2dXctLkDtng	hololive DEV_IS
水宮枢	UCjk2nKmHzgH5Xy-C5qYRd5A	hololive DEV_IS
綺々羅々ヴィヴィ	UCGzTVXqMQHa4AgJVJIVvtDQ	hololive DEV_IS
虎金妃笑虎	UCuI_opAVX6qbxZY-a-AxFuQ	hololive DEV_IS
輪堂千速	UCKMWFR6lAstLa7Vbf5dH7ig	hololive DEV_IS
響咲リオナ	UC9LSiN9hXI55svYEBrrK-tw	hololive DEV_IS
火威青	UCMGfV7TVTmHhEErVJg1oHBQ	hololive DEV_IS
橘ひなの	UCvUc0m317LWTTPZoBQV479A	ぶいすぽっ！
小森めと	UCzUNASdzI4PV5SlqtYwAkKQ	ぶいすぽっ！
胡桃のあ	UCIcAj6WkJ8vZ7DeJVgmeqKw	ぶいすぽっ！
一ノ瀬うるは	UC5LyYg6cCA4yHEYvtUsir3g	ぶいすぽっ！
花芽すみれ	UCyLGcqYs7RsBb3L0SJfzGYA	ぶいすぽっ！
藍沢エマ	UCPkKpOHxEDcwmUAnRpIu-Ng	ぶいすぽっ！
猫汰つな	UCIjdfjcSaEgdjwbgjxC3ZWg	ぶいすぽっ！
八雲べに	UCjXBuHmWkieBApgBhDuJMMQ	ぶいすぽっ！
夜乃くろむ	UCX4WL24YEOUYd7qDsFSLDOw	ぶいすぽっ！
英リサ	UCurEA8YoqFwimJcAuSHU0MQ	ぶいすぽっ！
空澄セナ	UCF_U2GCKHvDz52jWdizppIA	ぶいすぽっ！
花芽なずな	UCiMG6VdScBabPhJ1ZtaVmbw	ぶいすぽっ！
神成きゅぴ	UCMp55EbT_ZlqiMS3lCj01BQ	ぶいすぽっ！
紫宮るな	UCD5W21JqNMv_tV9nfjvF9sw	ぶいすぽっ！
兎咲ミミ	UCnvVG9RbOW3J6Ifqo-zKLiw	ぶいすぽっ！
紡木こかげ	UC-WX1CXssCtCtc2TNIRnJzg	ぶいすぽっ！
千燈ゆうひ	UCuDY3ibSP2MFRgf7eo3cojg	ぶいすぽっ！
如月れん	UCGWa1dMU_sDCaRQjdabsVgg	ぶいすぽっ！
白波らむね	UC61OwuYOVuKkpKnid-43Twg	ぶいすぽっ！
小雀とと	UCgTzsBI0DIRopMylJEDqnog	ぶいすぽっ！
蝶屋はなび	UCL9hJsdk9eQa0IlWbFB2oRg	ぶいすぽっ！
甘結もか	UC8vKBjGY2HVfbW9GAmgikWw	ぶいすぽっ！
